hetRisNN,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,,test_acc,std,Val acc
"hetRisNN30,25",15,0,0,600,4,1200,3,"0,25",DiagSheaf,Test acc: 67.4167 +/- 8.3620 | Val acc: 68.6667,67.4167, 8.3620,68.6667
"hetRisNN30,25",15,0,0,600,4,1200,3,"0,25",RotInvSheaf NoTime,Test acc: 74.8333 +/- 5.4747 | Val acc: 73.4167,74.8333, 5.4747,73.4167
"hetRisNN30,25",15,0,0,600,4,1200,3,"0,25",RotInvSheaf Time,Test acc: 74.0833 +/- 4.1239 | Val acc: 75.7500,74.0833, 4.1239,75.7500
"hetRisNN30,5",15,0,0,600,4,1200,3,"0,5",MLP,Test acc: 33.5833 +/- 4.2826 | Val acc: 36.2500,33.5833, 4.2826,36.2500
"hetRisNN30,5",15,0,0,600,4,1200,3,"0,5",VanillaSheaf,Test acc: 35.1667 +/- 3.0231 | Val acc: 38.0000,35.1667, 3.0231,38.0000
"hetRisNN30,5",15,0,0,600,4,1200,3,"0,5",DiagSheaf,Test acc: 40.6667 +/- 6.6646 | Val acc: 44.1667,40.6667, 6.6646,44.1667
"hetRisNN30,5",15,0,0,600,4,1200,3,"0,5",RotInvSheaf NoTime,Test acc: 41.6667 +/- 5.1774 | Val acc: 45.8333,41.6667, 5.1774,45.8333
"hetRisNN30,5",15,0,0,600,4,1200,3,"0,5",RotInvSheaf Time,Test acc: 43.3333 +/- 7.6830 | Val acc: 45.5000,43.3333, 7.6830,45.5000
"hetRisNN30,75",15,0,0,600,4,1200,3,"0,75",MLP,Test acc: 33.5833 +/- 4.2826 | Val acc: 36.2500,33.5833, 4.2826,36.2500
"hetRisNN30,75",15,0,0,600,4,1200,3,"0,75",VanillaSheaf,Test acc: 30.5000 +/- 2.3629 | Val acc: 35.0000,30.5000, 2.3629,35.0000
"hetRisNN30,75",15,0,0,600,4,1200,3,"0,75",DiagSheaf,Test acc: 41.5833 +/- 4.0389 | Val acc: 43.6667,41.5833, 4.0389,43.6667
"hetRisNN30,75",15,0,0,600,4,1200,3,"0,75",RotInvSheaf NoTime,Test acc: 37.0000 +/- 5.8357 | Val acc: 42.0000,37.0000, 5.8357,42.0000
"hetRisNN30,75",15,0,0,600,4,1200,3,"0,75",RotInvSheaf Time,Test acc: 39.0833 +/- 6.8155 | Val acc: 41.7500,39.0833, 6.8155,41.7500
hetRisNN31,15,0,0,600,4,1200,3,1,MLP,Test acc: 33.5833 +/- 4.2826 | Val acc: 36.2500,33.5833, 4.2826,36.2500
hetRisNN31,15,0,0,600,4,1200,3,1,VanillaSheaf,Test acc: 31.6667 +/- 4.9160 | Val acc: 34.1667,31.6667, 4.9160,34.1667
hetRisNN31,15,0,0,600,4,1200,3,1,DiagSheaf,Test acc: 50.4167 +/- 3.6372 | Val acc: 51.3333,50.4167, 3.6372,51.3333
hetRisNN31,15,0,0,600,4,1200,3,1,RotInvSheaf NoTime,Test acc: 45.9167 +/- 7.7590 | Val acc: 49.0833,45.9167, 7.7590,49.0833
hetRisNN31,15,0,0,600,4,1200,3,1,RotInvSheaf Time,Test acc: 43.5833 +/- 9.1595 | Val acc: 45.6667,43.5833, 9.1595,45.6667
hetRisNN40,15,0,0,800,4,1600,4,0,MLP,Test acc: 26.6250 +/- 2.3750 | Val acc: 27.8125,26.6250, 2.3750,27.8125
hetRisNN40,15,0,0,800,4,1600,4,0,VanillaSheaf,Test acc: 60.0625 +/- 1.9254 | Val acc: 60.5000,60.0625, 1.9254,60.5000
hetRisNN40,15,0,0,800,4,1600,4,0,DiagSheaf,Test acc: 98.7500 +/- 1.3693 | Val acc: 98.6250,98.7500, 1.3693,98.6250
hetRisNN40,15,0,0,800,4,1600,4,0,RotInvSheaf NoTime,Test acc: 98.8125 +/- 1.4909 | Val acc: 99.4375,98.8125, 1.4909,99.4375
hetRisNN40,15,0,0,800,4,1600,4,0,RotInvSheaf Time,Test acc: 99.1250 +/- 0.7500 | Val acc: 99.0000,99.1250, 0.7500,99.0000
"hetRisNN40,25",15,0,0,800,4,1600,4,"0,25",MLP,Test acc: 25.1875 +/- 4.5932 | Val acc: 27.3125,25.1875, 4.5932,27.3125
"hetRisNN40,25",15,0,0,800,4,1600,4,"0,25",VanillaSheaf,Test acc: 39.6250 +/- 3.9647 | Val acc: 44.1250,39.6250, 3.9647,44.1250
"hetRisNN40,25",15,0,0,800,4,1600,4,"0,25",DiagSheaf,Test acc: 71.7500 +/- 4.8798 | Val acc: 74.4375,71.7500, 4.8798,74.4375
"hetRisNN40,25",15,0,0,800,4,1600,4,"0,25",RotInvSheaf NoTime,Test acc: 73.9375 +/- 3.1131 | Val acc: 75.8125,73.9375, 3.1131,75.8125
"hetRisNN40,25",15,0,0,800,4,1600,4,"0,25",RotInvSheaf Time,Test acc: 78.2500 +/- 3.0721 | Val acc: 80.3125,78.2500, 3.0721,80.3125
"hetRisNN40,5",15,0,0,800,4,1600,4,"0,5",MLP,Test acc: 25.1875 +/- 4.5932 | Val acc: 27.3125,25.1875, 4.5932,27.3125
"hetRisNN40,5",15,0,0,800,4,1600,4,"0,5",VanillaSheaf,Test acc: 29.4375 +/- 4.7058 | Val acc: 31.9375,29.4375, 4.7058,31.9375
"hetRisNN40,5",15,0,0,800,4,1600,4,"0,5",DiagSheaf,Test acc: 52.6875 +/- 4.0122 | Val acc: 53.1250,52.6875, 4.0122,53.1250
"hetRisNN40,5",15,0,0,800,4,1600,4,"0,5",RotInvSheaf NoTime,Test acc: 55.0000 +/- 7.2726 | Val acc: 54.8125,55.0000, 7.2726,54.8125
"hetRisNN40,5",15,0,0,800,4,1600,4,"0,5",RotInvSheaf Time,Test acc: 60.8750 +/- 6.4056 | Val acc: 58.5000,60.8750, 6.4056,58.5000
"hetRisNN40,75",15,0,0,800,4,1600,4,"0,75",MLP,Test acc: 25.1875 +/- 4.5932 | Val acc: 27.3125,25.1875, 4.5932,27.3125
"hetRisNN40,75",15,0,0,800,4,1600,4,"0,75",VanillaSheaf,Test acc: 25.9375 +/- 3.6147 | Val acc: 26.7500,25.9375, 3.6147,26.7500
"hetRisNN40,75",15,0,0,800,4,1600,4,"0,75",DiagSheaf,Test acc: 50.6875 +/- 4.6892 | Val acc: 51.5625,50.6875, 4.6892,51.5625
"hetRisNN40,75",15,0,0,800,4,1600,4,"0,75",RotInvSheaf NoTime,Test acc: 52.5000 +/- 6.6203 | Val acc: 50.3750,52.5000, 6.6203,50.3750
"hetRisNN40,75",15,0,0,800,4,1600,4,"0,75",RotInvSheaf Time,Test acc: 58.6875 +/- 4.6641 | Val acc: 58.2500,58.6875, 4.6641,58.2500
hetRisNN41,15,0,0,800,4,1600,4,1,MLP,Test acc: 25.1875 +/- 4.5932 | Val acc: 27.3125,25.1875, 4.5932,27.3125
hetRisNN41,15,0,0,800,4,1600,4,1,VanillaSheaf,Test acc: 23.7500 +/- 2.4206 | Val acc: 27.8125,23.7500, 2.4206,27.8125
hetRisNN41,15,0,0,800,4,1600,4,1,DiagSheaf,Test acc: 51.5625 +/- 3.3337 | Val acc: 53.0000,51.5625, 3.3337,53.0000
hetRisNN41,15,0,0,800,4,1600,4,1,RotInvSheaf NoTime,Test acc: 55.8125 +/- 4.3306 | Val acc: 54.5000,55.8125, 4.3306,54.5000
hetRisNN41,15,0,0,800,4,1600,4,1,RotInvSheaf Time,Test acc: 59.1875 +/- 4.4987 | Val acc: 56.4375,59.1875, 4.4987,56.4375
hetRisNN50,15,0,0,1000,4,2000,5,0,MLP,Test acc: 21.8000 +/- 4.0939 | Val acc: 23.6000,21.8000, 4.0939,23.6000
hetRisNN50,15,0,0,1000,4,2000,5,0,VanillaSheaf,Test acc: 68.1500 +/- 2.7023 | Val acc: 66.9500,68.1500, 2.7023,66.9500
hetRisNN50,15,0,0,1000,4,2000,5,0,DiagSheaf,Test acc: 97.0000 +/- 1.8574 | Val acc: 97.2000,97.0000, 1.8574,97.2000
hetRisNN50,15,0,0,1000,4,2000,5,0,RotInvSheaf NoTime,Test acc: 99.4000 +/- 0.5831 | Val acc: 99.4500,99.4000, 0.5831,99.4500
hetRisNN50,15,0,0,1000,4,2000,5,0,RotInvSheaf Time,Test acc: 99.5000 +/- 0.3873 | Val acc: 99.3000,99.5000, 0.3873,99.3000
"hetRisNN50,25",15,0,0,1000,4,2000,5,"0,25",MLP,Test acc: 19.8500 +/- 4.7278 | Val acc: 23.6000,19.8500, 4.7278,23.6000
"hetRisNN50,25",15,0,0,1000,4,2000,5,"0,25",VanillaSheaf,Test acc: 44.5000 +/- 2.8284 | Val acc: 45.1000,44.5000, 2.8284,45.1000
"hetRisNN50,25",15,0,0,1000,4,2000,5,"0,25",DiagSheaf,Test acc: 77.0500 +/- 6.3618 | Val acc: 76.6500,77.0500, 6.3618,76.6500
"hetRisNN50,25",15,0,0,1000,4,2000,5,"0,25",RotInvSheaf NoTime,Test acc: 82.8500 +/- 2.9159 | Val acc: 82.8500,82.8500, 2.9159,82.8500
"hetRisNN50,25",15,0,0,1000,4,2000,5,"0,25",RotInvSheaf Time,Test acc: 83.8500 +/- 2.1800 | Val acc: 84.6000,83.8500, 2.1800,84.6000
"hetRisNN50,5",15,0,0,1000,4,2000,5,"0,5",MLP,Test acc: 19.8500 +/- 4.7278 | Val acc: 23.6000,19.8500, 4.7278,23.6000
"hetRisNN50,5",15,0,0,1000,4,2000,5,"0,5",VanillaSheaf,Test acc: 27.8000 +/- 3.6824 | Val acc: 26.1500,27.8000, 3.6824,26.1500
"hetRisNN50,5",15,0,0,1000,4,2000,5,"0,5",DiagSheaf,Test acc: 55.1500 +/- 5.8269 | Val acc: 57.1000,55.1500, 5.8269,57.1000
"hetRisNN50,5",15,0,0,1000,4,2000,5,"0,5",RotInvSheaf NoTime,Test acc: 53.9500 +/- 3.0615 | Val acc: 53.2500,53.9500, 3.0615,53.2500
"hetRisNN50,5",15,0,0,1000,4,2000,5,"0,5",RotInvSheaf Time,Test acc: 59.5000 +/- 2.9749 | Val acc: 56.3000,59.5000, 2.9749,56.3000
