"Name","test_acc","test_acc_std","weight_decay","sheaf_decay","num_nodes","num_feats","num_classes","node_degree","het","model","State","Notes","User","Tags","Created","Runtime","Sweep","add_hp","add_lp","adjoint","adjoint_method","adjoint_step_size","chebyshev_layers_K","command","cuda","d","dataset","deg_normalised","device","dim_list","dropout","dual_diag","dual_diff_strength","dual_left_linear","dual_linear","dual_normalised","dual_right_linear","early_stopping","earlystopxT","edge_noise","edge_weights","ellipsoid_radius","ellipsoids","entity","epochs","evectors","feat_noise","folds","graph_size","hidden_channels","input_dim","input_dropout","just_add_noise","layers","learn_first_maps","left_weights","linear","lr","max_iters","max_nfe","max_t","max_test_steps","method","min_acc","new_synth_data","new_synth_edges","no_early","node_edge_sims_time_dependent","normalised","num_of_convolutions","orth","output_dim","parameters.cuda","parameters.dataset","parameters.early_stopping","parameters.edge_noise","parameters.ellipsoids","parameters.epochs","parameters.feat_noise","parameters.feat_noises","parameters.het_coef","parameters.het_coefs","parameters.lr","parameters.models","parameters.node_degree","parameters.num_classes","parameters.num_classess","parameters.num_feats","parameters.num_nodes","parameters.num_nodess","parameters.seed","parameters.sheaf_decay","parameters.weight_decay","program","project","right_weights","rotation_invariant_sheaf_learner","second_linear","seed","sha","sheaf_act","sheaf_init","sparse_learner","step_size","stop_strategy","tol_scale","tol_scale_adjoint","use_act","use_embedding","use_epsilons","zero_laplacian","best_epoch","best_test_acc","best_val_acc","fold0_tmp_test_acc","fold0_tmp_test_loss","fold0_train_acc","fold0_train_loss","fold0_val_acc","fold0_val_loss","val_acc"
"unique-sweep-145","95.5","3.6742346141747664","0.0005","0.0005","400","15","2","4","0.75","DiagSheafChebyshev","finished","-","","","2025-10-01T00:35:21.000Z","96","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","1499","0.975","1","0.975","0.16841869056224823","1","0.0002928855537902564","0.975","0.05168551206588745","95.5"
"happy-sweep-177","95","4.743416490252569","0.0005","0.0005","400","15","2","4","0.75","GeneralSheafChebyshev","finished","-","","","2025-10-01T01:25:22.000Z","92","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","33","0.9","0.975","0.875","0.5318453907966614","1","0.0005502804415300488","0.85","0.460875928401947","97.25"
"peach-sweep-209","96.75","3.172144385112379","0.0005","0.0005","400","15","2","4","1","BundleSheafChebyshev","finished","-","","","2025-10-01T02:14:01.000Z","88","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","333","0.95","0.925","0.975","0.07134047150611877","1","0.0004414014401845634","1","0.026533951982855797","97.25"
"curious-sweep-193","95.5","3.6742346141747664","0.0005","0.0005","400","15","2","4","1","DiagSheafChebyshev","finished","-","","","2025-10-01T01:49:27.000Z","85","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","1499","0.975","1","0.975","0.16841867566108704","1","0.0002928855537902564","0.975","0.05168528109788895","95.5"
"colorful-sweep-225","95","4.743416490252569","0.0005","0.0005","400","15","2","4","1","GeneralSheafChebyshev","finished","-","","","2025-10-01T02:39:00.000Z","74","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","33","0.9","0.975","0.9","0.3957076072692871","1","0.000727744132746011","0.825","0.9862071871757508","97.25"
"pretty-sweep-22","96.75","3.172144385112379","0.0005","0.0005","600","15","3","4","0","BundleSheafChebyshev","finished","-","","","2025-09-30T21:24:53.000Z","117","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","333","0.95","0.925","0.975","0.07134048640727997","1","0.0004414004506543278","1","0.026533927768468857","97.25"
"expert-sweep-6","95.5","3.6742346141747664","0.0005","0.0005","600","15","3","4","0","DiagSheafChebyshev","finished","-","","","2025-09-30T20:49:27.000Z","138","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","1499","0.975","1","0.975","0.16841813921928406","1","0.0002928835747297853","0.975","0.05168583244085312","95.5"
"ancient-sweep-38","95","4.743416490252569","0.0005","0.0005","600","15","3","4","0","GeneralSheafChebyshev","finished","-","","","2025-09-30T21:52:29.000Z","85","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","33","0.9","0.975","0.9","0.3901607394218445","1","0.00044275698019191623","0.875","0.46344152092933655","97.25"
"stoic-sweep-70","96.75","3.172144385112379","0.0005","0.0005","600","15","3","4","0.25","BundleSheafChebyshev","finished","-","","","2025-09-30T22:41:32.000Z","97","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","333","0.95","0.925","0.975","0.07134044170379639","1","0.0004414004506543278","1","0.026533886790275577","97.25"
"helpful-sweep-54","95.5","3.6742346141747664","0.0005","0.0005","600","15","3","4","0.25","DiagSheafChebyshev","finished","-","","","2025-09-30T22:16:32.000Z","92","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","1499","0.975","1","0.975","0.16841864585876465","1","0.0002928855537902564","0.975","0.051685623824596405","95.5"
