"Name","test_acc","test_acc_std","node_degree","num_feats","model","num_classes","num_nodes","State","Notes","User","Tags","Created","Runtime","Sweep","add_hp","add_lp","adjoint","adjoint_method","adjoint_step_size","chebyshev_layers_K","command","cuda","d","dataset","deg_normalised","device","dim_list","dropout","dual_diag","dual_diff_strength","dual_left_linear","dual_linear","dual_normalised","dual_right_linear","early_stopping","earlystopxT","edge_noise","edge_weights","ellipsoid_radius","ellipsoids","entity","epochs","evectors","feat_noise","folds","graph_size","het","hidden_channels","input_dim","input_dropout","just_add_noise","layers","learn_first_maps","left_weights","linear","lr","max_iters","max_nfe","max_t","max_test_steps","method","min_acc","new_synth_data","new_synth_edges","no_early","node_edge_sims_time_dependent","normalised","num_of_convolutions","orth","output_dim","parameters.cuda","parameters.dataset","parameters.early_stopping","parameters.edge_noise","parameters.ellipsoids","parameters.epochs","parameters.feat_noise","parameters.feat_noises","parameters.het_coef","parameters.het_coefs","parameters.lr","parameters.models","parameters.node_degree","parameters.num_classes","parameters.num_classess","parameters.num_feats","parameters.num_nodes","parameters.num_nodess","parameters.seed","parameters.sheaf_decay","parameters.weight_decay","program","project","right_weights","rotation_invariant_sheaf_learner","second_linear","seed","sha","sheaf_act","sheaf_decay","sheaf_init","sparse_learner","step_size","stop_strategy","tol_scale","tol_scale_adjoint","use_act","use_embedding","use_epsilons","weight_decay","zero_laplacian","best_epoch","best_test_acc","best_val_acc","fold0_tmp_test_acc","fold0_tmp_test_loss","fold0_train_acc","fold0_train_loss","fold0_val_acc","fold0_val_loss","val_acc"
"warm-sweep-59","95.5","3.6742346141747664","4","4","DiagSheafChebyshev","4","800","finished","-","","","2025-09-30T22:21:21.000Z","78","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.25","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841880977153778","1","0.0002928865433204919","0.975","0.05168568342924118","95.5"
"olive-sweep-219","96.75","3.172144385112379","4","4","BundleSheafChebyshev","4","800","finished","-","","","2025-10-01T02:25:16.000Z","95","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134045660495758","1","0.00044139946112409234","1","0.02653392218053341","97.25"
"playful-sweep-155","95.5","3.6742346141747664","4","4","DiagSheafChebyshev","4","800","finished","-","","","2025-10-01T00:47:57.000Z","80","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.75","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.1684185266494751","1","0.00029288456426002085","0.975","0.051685649901628494","95.5"
"lyric-sweep-107","95.5","3.6742346141747664","4","4","DiagSheafChebyshev","4","800","finished","-","","","2025-09-30T23:34:32.000Z","84","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.5","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841931641101837","1","0.0002928855537902564","0.975","0.05168542265892029","95.5"
"solar-sweep-235","95","4.743416490252569","4","4","GeneralSheafChebyshev","4","800","finished","-","","","2025-10-01T02:50:16.000Z","81","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.925","0.6209424138069153","1","0.0007889283588156104","0.875","0.7422665357589722","97.25"
"azure-sweep-187","96","4.636809247747851","4","4","GeneralSheafChebyshev","4","800","finished","-","","","2025-10-01T01:36:04.000Z","87","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.75","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","51","0.875","0.975","0.9","0.3846425116062164","1","0.0003548845124896616","0.85","0.4880172610282898","97.75"
"dashing-sweep-75","96.75","3.172144385112379","4","4","BundleSheafChebyshev","4","800","finished","-","","","2025-09-30T22:46:41.000Z","82","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.25","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134044915437698","1","0.0004414014401845634","1","0.02653397247195244","97.25"
"dutiful-sweep-139","95","4.743416490252569","4","4","GeneralSheafChebyshev","4","800","finished","-","","","2025-10-01T00:24:24.000Z","81","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.5","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.6284887194633484","1","0.0006057096179574728","0.825","0.9450221061706544","97.25"
"cerulean-sweep-91","95","4.743416490252569","4","4","GeneralSheafChebyshev","4","800","finished","-","","","2025-09-30T23:09:53.000Z","91","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.25","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.5131238698959351","1","0.000383468606742099","0.875","0.5413941144943237","97.25"
"deft-sweep-171","96.75","3.172144385112379","4","4","BundleSheafChebyshev","4","800","finished","-","","","2025-10-01T01:12:01.000Z","112","1z4h0de1","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.75","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134044915437698","1","0.0004414004506543278","1","0.02653388120234013","97.25"
