"Name","test_acc","test_acc_std","model","lambda_max_choice","dataset","chebyshev_layers_K","Runtime","State","Notes","User","Tags","Created","Sweep","add_hp","add_lp","adjoint","adjoint_method","adjoint_step_size","command","cuda","d","deg_normalised","device","dim_list","dropout","dual_diag","dual_diff_strength","dual_left_linear","dual_linear","dual_normalised","dual_right_linear","early_stopping","earlystopxT","edge_noise","edge_weights","ellipsoid_radius","ellipsoids","entity","epochs","evectors","feat_noise","folds","graph_size","het_coef","hidden_channels","input_dim","input_dropout","just_add_noise","layers","learn_first_maps","left_weights","linear","lr","max_iters","max_nfe","max_t","max_test_steps","method","metric.goal","metric.name","min_acc","name","new_synth_data","new_synth_edges","no_early","node_degree","node_edge_sims_time_dependent","normalised","num_classes","num_feats","num_nodes","num_of_convolutions","orth","output_dim","parameters.add_hp.distribution","parameters.add_hps","parameters.add_lp.distribution","parameters.add_lps","parameters.chebyshev_layers_Ks","parameters.cuda","parameters.d.distribution","parameters.ds","parameters.dataset","parameters.deg_normalised","parameters.dropout.distribution","parameters.dropouts","parameters.early_stopping.distribution","parameters.early_stopping","parameters.edge_weights","parameters.entity","parameters.epochs.distribution","parameters.epochs","parameters.folds.distribution","parameters.folds","parameters.hidden_channels.distribution","parameters.hidden_channelss","parameters.input_dropout.distribution","parameters.input_dropouts","parameters.lambda_max_choice.distribution","parameters.lambda_max_choices","parameters.layers.distribution","parameters.layerss","parameters.left_weights","parameters.lr","parameters.model","parameters.normalised","parameters.orth.distribution","parameters.orth","parameters.right_weights","parameters.second_linear","parameters.sparse_learner","parameters.use_act","program","right_weights","rotation_invariant_sheaf_learner","second_linear","seed","sha","sheaf_act","sheaf_decay","sheaf_init","sparse_learner","step_size","stop_strategy","tol_scale","tol_scale_adjoint","use_act","use_embedding","use_epsilons","weight_decay","zero_laplacian","best_epoch","best_test_acc","best_val_acc","fold0_tmp_test_acc","fold0_tmp_test_loss","fold0_train_acc","fold0_train_loss","fold0_val_acc","fold0_val_loss","val_acc"
"gallant-sweep-2","30.528338136407303","1.1331997773724214","BundleSheafChebyshev","analytic","squirrel","2","1034","finished","-","","","2025-10-09T21:14:58.000Z","t4i2s6r1","1","1","false","adaptive_heun","1","","0","4","false","cuda:0","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","5201","0.9","32","2089","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","true","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","5","0.31316042267050914","0.3293269230769231","0.36023054755043227","3.542149305343628","0.9823717948717948","0.0813460648059845","0.3713942307692308","3.751389741897583","30.71514423076923"
"drawn-sweep-1","30.528338136407303","1.1331997773724214","BundleSheafChebyshev","iterative","squirrel","2","971","finished","-","","","2025-10-09T20:58:39.000Z","t4i2s6r1","1","1","false","adaptive_heun","1","","0","4","false","cuda:0","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","5201","0.9","32","2089","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","true","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","5","0.31316042267050914","0.3293269230769231","0.3621517771373679","3.5311834812164307","0.984375","0.07547461241483688","0.3629807692307692","3.775246143341065","30.71514423076923"
"feasible-sweep-2","88.84888438133875","0.440301293232454","GeneralSheafChebyshev","analytic","pubmed","1","428","finished","-","","","2025-10-09T20:30:24.000Z","8kyihuox","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","19717","0.9","32","500","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","44","0.8838742393509128","0.8968304278922345","0.8856490872210954","0.4251273572444916","0.9742153651062032","0.07421264797449112","0.8852614896988906","0.39534372091293335","89.08399366085578"
"tough-sweep-2","88.97058823529409","0.28302325075813106","BundleSheafChebyshev","analytic","pubmed","1","499","finished","-","","","2025-10-09T20:26:57.000Z","sl0jm2dt","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","19717","0.9","32","500","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","47","0.8889452332657201","0.8980982567353407","0.8838742393509128","0.4006785750389099","0.9661840853851844","0.10110267251729964","0.8871632329635499","0.3552040159702301","89.28526148969891"
"twilight-sweep-2","39.27631578947369","4.065543435845607","BundleSheafChebyshev","analytic","chameleon","1","186","finished","-","","","2025-10-09T20:26:36.000Z","gf4vgxoh","1","1","false","adaptive_heun","1","","0","4","false","cuda:0","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","2277","0.9","32","2325","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","true","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","5","0.44298245614035087","0.4128943758573389","0.5679824561403509","3.090726137161255","0.9972527472527472","0.012050896883010864","0.5925925925925926","3.082509756088257","38.88888888888889"
"vital-sweep-1","39.27631578947369","4.065543435845607","BundleSheafChebyshev","iterative","chameleon","1","215","finished","-","","","2025-10-09T20:22:59.000Z","gf4vgxoh","1","1","false","adaptive_heun","1","","0","4","false","cuda:0","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","2277","0.9","32","2325","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","true","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","5","0.44298245614035087","0.4128943758573389","0.5723684210526315","2.6301047801971436","0.9981684981684982","0.008449513465166092","0.5733882030178327","3.1507821083068848","38.88888888888889"
"northern-sweep-1","88.97058823529409","0.28302325075813106","BundleSheafChebyshev","iterative","pubmed","1","482","finished","-","","","2025-10-09T20:18:51.000Z","sl0jm2dt","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","19717","0.9","32","500","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","47","0.8889452332657201","0.8980982567353407","0.8790567951318459","0.4305128753185272","0.9548768889358554","0.11698494851589204","0.8852614896988906","0.38270771503448486","89.28526148969891"
"lilac-sweep-2","37.76315789473684","3.06672738709006","GeneralSheafChebyshev","analytic","chameleon","1","269","finished","-","","","2025-10-09T20:17:32.000Z","8xvprd9q","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","2277","0.9","32","2325","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","true","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","5","0.3991228070175439","0.382716049382716","0.5679824561403509","2.953477382659912","0.9990842490842492","0.007299415301531553","0.6035665294924554","3.14133358001709","37.1604938271605"
"charmed-sweep-1","88.84888438133875","0.440301293232454","GeneralSheafChebyshev","iterative","pubmed","1","296","finished","-","","","2025-10-09T20:15:25.000Z","js85dl4r","1","1","false","adaptive_heun","1","","0","4","false","cuda:0","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","19717","0.9","32","500","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","44","0.8838742393509128","0.8968304278922345","0.8853955375253549","0.42509400844573975","0.9740040156398604","0.07482265681028366","0.8849445324881141","0.3956344723701477","89.08399366085578"
"copper-sweep-2","41.9078947368421","1.6306413548264298","DiagSheafChebyshev","analytic","chameleon","1","232","finished","-","","","2025-10-09T20:14:22.000Z","dtw17tb3","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","2277","0.9","32","2325","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","true","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","6","0.4298245614035088","0.39780521262002744","0.5460526315789473","3.2557780742645264","0.9981684981684982","0.027649937197566032","0.5541838134430727","3.20622181892395","40.548696844993145"
"genial-sweep-1","37.76315789473684","3.06672738709006","GeneralSheafChebyshev","iterative","chameleon","1","265","finished","-","","","2025-10-09T20:13:03.000Z","8xvprd9q","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","2277","0.9","32","2325","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","true","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","5","0.3991228070175439","0.382716049382716","0.5635964912280702","2.926960706710815","0.9990842490842492","0.011052470654249191","0.5692729766803841","3.202779769897461","37.1604938271605"
"leafy-sweep-1","41.9078947368421","1.6306413548264298","DiagSheafChebyshev","iterative","chameleon","1","152","finished","-","","","2025-10-09T20:11:47.000Z","dtw17tb3","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","2277","0.9","32","2325","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","true","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","6","0.4298245614035088","0.39780521262002744","0.5416666666666666","3.2558703422546387","0.9954212454212454","0.0275459848344326","0.5528120713305898","3.204219102859497","40.548696844993145"
"earthy-sweep-2","84.70588235294117","5.8033916027249965","GeneralSheafChebyshev","analytic","wisconsin","1","406","finished","-","","","2025-10-09T19:48:50.000Z","dks9e9s2","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","251","0.9","32","1703","0.2","false","2","false","true","false","0.02","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","171","0.8627450980392157","0.875","0.8431372549019608","0.8698659539222717","1","0.00034747470635920763","0.8625","0.5039545893669128","84.25"
"unique-sweep-2","84.31372549019608","3.281019711898335","BundleSheafChebyshev","analytic","wisconsin","1","150","finished","-","","","2025-10-09T19:47:58.000Z","yk9b5903","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","251","0.9","32","1703","0.2","false","2","false","true","false","0.02","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","43","0.8823529411764706","0.8375","0.8431372549019608","1.2346854209899902","1","0.0003260594676248729","0.8125","0.5938315987586975","85.50000000000001"
"revived-sweep-1","79.01960784313724","4.209982461487038","GeneralSheafChebyshev","iterative","wisconsin","1","235","finished","-","","","2025-10-09T19:44:53.000Z","dks9e9s2","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","251","0.9","32","1703","0.2","false","2","false","true","false","0.02","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","453","0.8823529411764706","0.9","0.7450980392156863","1.0922616720199585","1","0.0003742682165466249","0.7625","1.3966282606124878","82.875"
"worldly-sweep-2","83.92156862745098","3.802101848953983","DiagSheafChebyshev","analytic","wisconsin","1","208","finished","-","","","2025-10-09T19:44:31.000Z","lx10rx1h","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","251","0.9","32","1703","0.2","false","2","false","true","false","0.02","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","51","0.8823529411764706","0.8375","0.7843137254901961","0.8438928723335266","1","0.0024371063336730003","0.8375","0.4408443570137024","85.62499999999999"
"revived-sweep-2","25.18731988472622","1.893556707448019","BundleSheafChebyshev","analytic","squirrel","1","905","finished","-","","","2025-10-09T19:44:02.000Z","lxcrb2pn","1","1","false","adaptive_heun","1","","0","4","false","cuda:0","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","5201","0.9","32","2089","0.2","false","2","false","true","false","0.01","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","true","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","4","0.2584053794428434","0.2776442307692308","0.4505283381364073","3.1663336753845215","0.9959935897435898","0.04079650714993477","0.44771634615384615","3.249497652053833","25.258413461538463"
"frosty-sweep-1","83.72549019607843","5.191451880342639","BundleSheafChebyshev","iterative","wisconsin","1","248","finished","-","","","2025-10-09T19:43:44.000Z","yk9b5903","1","1","false","adaptive_heun","1","","1","4","false","cuda:1","[]","0.2","false","1","false","true","true","false","200","3","0.05","true","1","true","adavit","500","0","0.25","10","251","0.9","32","1703","0.2","false","2","false","true","false","0.02","100","1000","1","100","","","","0","","false","false","false","10","false","true","2","10","200","1","householder","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","0b986149667ebb17e7d747a61b004d6b13349619","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","206","0.9019607843137256","0.8625","0.8627450980392157","1.0993318557739258","1","0.00027460046112537384","0.8625","0.4686243534088135","85.625"
