Data_RiSNN,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,results,Test acc,std,Val acc
Data_RiSNN10002,15,0,0,1000,2,1000,3,0.9,VanillaSheaf,Test acc: 32.6000 +/- 2.7731 | Val acc: 34.3500,32.6000, 2.7731,34.3500
Data_RiSNN10002,15,0,0,1000,2,1000,3,0.9,DiagSheaf,Test acc: 58.2500 +/- 5.0212 | Val acc: 59.4500,58.2500, 5.0212,59.4500
Data_RiSNN10002,15,0,0,1000,2,1000,3,0.9,RotInvSheaf NoTime,Test acc: 62.5000 +/- 6.2089 | Val acc: 62.8000,62.5000, 6.2089,62.8000
Data_RiSNN10002,15,0,0,1000,2,1000,3,0.9,RotInvSheaf Time,Test acc: 70.5500 +/- 3.3275 | Val acc: 70.9000,70.5500, 3.3275,70.9000
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,MLP,Test acc: 35.7000 +/- 6.5238 | Val acc: 36.4500,35.7000, 6.5238,36.4500
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,VanillaSheaf,Test acc: 34.1000 +/- 3.4191 | Val acc: 35.5000,34.1000, 3.4191,35.5000
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,DiagSheaf,Test acc: 77.5000 +/- 3.6538 | Val acc: 78.7500,77.5000, 3.6538,78.7500
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,RotInvSheaf NoTime,Test acc: 78.5500 +/- 3.6705 | Val acc: 79.2500,78.5500, 3.6705,79.2500
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,RotInvSheaf Time,Test acc: 82.9500 +/- 4.4522 | Val acc: 84.0000,82.9500, 4.4522,84.0000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,MLP,Test acc: 35.5500 +/- 3.8174 | Val acc: 38.4000,35.5500, 3.8174,38.4000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,VanillaSheaf,Test acc: 34.6500 +/- 2.8200 | Val acc: 36.7000,34.6500, 2.8200,36.7000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,DiagSheaf,Test acc: 79.6000 +/- 3.0561 | Val acc: 79.9000,79.6000, 3.0561,79.9000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,RotInvSheaf NoTime,Test acc: 85.9000 +/- 3.5553 | Val acc: 85.4000,85.9000, 3.5553,85.4000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,RotInvSheaf Time,Test acc: 85.8500 +/- 6.0994 | Val acc: 86.8500,85.8500, 6.0994,86.8500
