data,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,results,test_acc,std,Val acc
raw05_Diff,3,0,1,400,2,400,2,1,JointSheaf NoInit,Test acc: 74.8750 +/- 9.2272 | Val acc: 73.8750,74.8750, 9.2272,73.8750
raw05_Diff,3,0,1,400,2,400,2,1,JointSheaf Init,Test acc: 82.8750 +/- 6.0994 | Val acc: 81.7500,82.8750, 6.0994,81.7500
raw05_Diff,3,0,1,400,2,400,2,1,JointSheaf Params,Test acc: 85.7500 +/- 6.3048 | Val acc: 89.7500,85.7500, 6.3048,89.7500
raw10_Diff,3,0.2,0,400,2,400,2,1,MLP,Test acc: 59.7500 +/- 5.3561 | Val acc: 60.5000,59.7500, 5.3561,60.5000
raw10_Diff,3,0.2,0,400,2,400,2,1,VanillaSheaf,Test acc: 45.2500 +/- 5.3852 | Val acc: 50.5000,45.2500, 5.3852,50.5000
raw10_Diff,3,0.2,0,400,2,400,2,1,DiagSheaf,Test acc: 82.7500 +/- 3.9051 | Val acc: 86.0000,82.7500, 3.9051,86.0000
raw10_Diff,3,0.2,0,400,2,400,2,1,JointSheaf NoInit,Test acc: 54.1250 +/- 10.7100 | Val acc: 57.7500,54.1250, 10.710,57.7500
raw10_Diff,3,0.2,0,400,2,400,2,1,JointSheaf Init,Test acc: 90.8750 +/- 6.3010 | Val acc: 93.8750,90.8750, 6.3010,93.8750
raw10_Diff,3,0.2,0,400,2,400,2,1,JointSheaf Params,Test acc: 93.5000 +/- 3.3912 | Val acc: 95.2500,93.5000, 3.3912,95.2500
raw20_Diff,3,0.4,0,400,2,400,2,1,MLP,Test acc: 53.1250 +/- 7.6086 | Val acc: 58.8750,53.1250, 7.6086,58.8750
raw20_Diff,3,0.4,0,400,2,400,2,1,VanillaSheaf,Test acc: 47.5000 +/- 4.6435 | Val acc: 48.6250,47.5000, 4.6435,48.6250
raw20_Diff,3,0.4,0,400,2,400,2,1,DiagSheaf,Test acc: 78.6250 +/- 3.0337 | Val acc: 76.5000,78.6250, 3.0337,76.5000
raw20_Diff,3,0.4,0,400,2,400,2,1,JointSheaf NoInit,Test acc: 54.8750 +/- 11.4216 | Val acc: 60.1250,54.8750, 11.421,60.1250
raw20_Diff,3,0.4,0,400,2,400,2,1,JointSheaf Init,Test acc: 85.6250 +/- 10.0195 | Val acc: 86.6250,85.6250, 10.019,86.6250
raw20_Diff,3,0.4,0,400,2,400,2,1,JointSheaf Params,Test acc: 87.6250 +/- 5.3165 | Val acc: 90.1250,87.6250, 5.3165,90.1250
raw30_Diff,3,0.6,0,400,2,400,2,1,MLP,Test acc: 51.8750 +/- 5.3982 | Val acc: 60.7500,51.8750, 5.3982,60.7500
raw30_Diff,3,0.6,0,400,2,400,2,1,VanillaSheaf,Test acc: 47.5000 +/- 3.8324 | Val acc: 49.5000,47.5000, 3.8324,49.5000
raw30_Diff,3,0.6,0,400,2,400,2,1,DiagSheaf,Test acc: 67.2500 +/- 4.2500 | Val acc: 69.0000,67.2500, 4.2500,69.0000
raw30_Diff,3,0.6,0,400,2,400,2,1,JointSheaf NoInit,Test acc: 52.6250 +/- 4.0869 | Val acc: 56.6250,52.6250, 4.0869,56.6250
raw30_Diff,3,0.6,0,400,2,400,2,1,JointSheaf Init,Test acc: 76.8750 +/- 8.9835 | Val acc: 78.1250,76.8750, 8.9835,78.1250
