,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,results,test_acc,std,Val acc
raw10_RiSNN,15,0.05,0,500,5,1250,2,1,DiagSheaf,Test acc: 98.6000 +/- 0.9165 | Val acc: 98.7000,98.6000, 0.9165,98.7000
raw10_RiSNN,15,0.05,0,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 98.2000 +/- 2.4000 | Val acc: 97.6000,98.2000, 2.4000,97.6000
raw10_RiSNN,15,0.05,0,500,5,1250,2,1,RotInvSheaf Time,Test acc: 94.2000 +/- 5.7758 | Val acc: 96.1000,94.2000, 5.7758,96.1000
raw20_RiSNN,15,0.1,0,500,5,1250,2,1,MLP,Test acc: 50.5000 +/- 6.4382 | Val acc: 50.2000,50.5000, 6.4382,50.2000
raw20_RiSNN,15,0.1,0,500,5,1250,2,1,VanillaSheaf,Test acc: 50.6000 +/- 4.2942 | Val acc: 53.0000,50.6000, 4.2942,53.0000
raw20_RiSNN,15,0.1,0,500,5,1250,2,1,DiagSheaf,Test acc: 97.4000 +/- 2.1071 | Val acc: 98.0000,97.4000, 2.1071,98.0000
raw20_RiSNN,15,0.1,0,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 96.9000 +/- 1.4457 | Val acc: 96.9000,96.9000, 1.4457,96.9000
raw20_RiSNN,15,0.1,0,500,5,1250,2,1,RotInvSheaf Time,Test acc: 89.4000 +/- 10.2196 | Val acc: 89.0000,89.4000, 10.219,89.0000
raw30_RiSNN,15,0.15,0,500,5,1250,2,1,MLP,Test acc: 48.2000 +/- 4.2615 | Val acc: 51.5000,48.2000, 4.2615,51.5000
raw30_RiSNN,15,0.15,0,500,5,1250,2,1,VanillaSheaf,Test acc: 49.4000 +/- 3.9038 | Val acc: 53.1000,49.4000, 3.9038,53.1000
raw30_RiSNN,15,0.15,0,500,5,1250,2,1,DiagSheaf,Test acc: 95.6000 +/- 3.3226 | Val acc: 95.1000,95.6000, 3.3226,95.1000
raw30_RiSNN,15,0.15,0,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 92.0000 +/- 10.2372 | Val acc: 94.6000,92.0000, 10.237,94.6000
raw30_RiSNN,15,0.15,0,500,5,1250,2,1,RotInvSheaf Time,Test acc: 89.0000 +/- 6.5727 | Val acc: 88.6000,89.0000, 6.5727,88.6000
raw40_RiSNN,15,0.2,0,500,5,1250,2,1,MLP,Test acc: 48.1000 +/- 5.7524 | Val acc: 51.4000,48.1000, 5.7524,51.4000
raw40_RiSNN,15,0.2,0,500,5,1250,2,1,VanillaSheaf,Test acc: 52.1000 +/- 4.6787 | Val acc: 54.9000,52.1000, 4.6787,54.9000
raw40_RiSNN,15,0.2,0,500,5,1250,2,1,DiagSheaf,Test acc: 95.3000 +/- 1.5524 | Val acc: 94.9000,95.3000, 1.5524,94.9000
raw40_RiSNN,15,0.2,0,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 89.9000 +/- 8.1419 | Val acc: 90.9000,89.9000, 8.1419,90.9000
raw40_RiSNN,15,0.2,0,500,5,1250,2,1,RotInvSheaf Time,Test acc: 75.7000 +/- 15.8685 | Val acc: 75.4000,75.7000, 15.868,75.4000
raw50_RiSNN,15,0.25,0,500,5,1250,2,1,MLP,Test acc: 50.6000 +/- 7.6184 | Val acc: 54.0000,50.6000, 7.6184,54.0000
raw50_RiSNN,15,0.25,0,500,5,1250,2,1,VanillaSheaf,Test acc: 51.7000 +/- 4.6271 | Val acc: 54.1000,51.7000, 4.6271,54.1000
raw50_RiSNN,15,0.25,0,500,5,1250,2,1,DiagSheaf,Test acc: 90.8000 +/- 5.6533 | Val acc: 93.6000,90.8000, 5.6533,93.6000
raw50_RiSNN,15,0.25,0,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 87.2000 +/- 9.0532 | Val acc: 86.6000,87.2000, 9.0532,86.6000
raw50_RiSNN,15,0.25,0,500,5,1250,2,1,RotInvSheaf Time,Test acc: 57.4000 +/- 12.0516 | Val acc: 62.1000,57.4000, 12.051,62.1000
raw60_RiSNN,15,0.30,0,500,5,1250,2,1,MLP,Test acc: 48.4000 +/- 4.8415 | Val acc: 49.4000,48.4000, 4.8415,49.4000
raw60_RiSNN,15,0.30,0,500,5,1250,2,1,VanillaSheaf,Test acc: 49.5000 +/- 2.6926 | Val acc: 51.7000,49.5000, 2.6926,51.7000
raw60_RiSNN,15,0.30,0,500,5,1250,2,1,DiagSheaf,Test acc: 87.5000 +/- 8.4882 | Val acc: 89.5000,87.5000, 8.4882,89.5000
raw60_RiSNN,15,0.30,0,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 77.6000 +/- 17.2348 | Val acc: 80.2000,77.6000, 17.234,80.2000
raw60_RiSNN,15,0.30,0,500,5,1250,2,1,RotInvSheaf Time,Test acc: 54.1000 +/- 10.5019 | Val acc: 59.0000,54.1000, 10.501,59.0000
