adjacency,mode,norm,seed,sigma,train_mae,val_mae,test_mae,normalized_train_mae,normalized_val_mae,normalized_test_mae,train_mae_std,val_mae_std,test_mae_std,normalized_train_mae_std,normalized_val_mae_std,normalized_test_mae_std,avg_train_time_s,std_train_time_s,top_10_test_mae,top_100_test_mae,bottom_100_test_mae
con,transductive,row,2,5.0,2287.8343,4121.7674,3891.2999,0.0965,0.2526,0.2623,322.0353,2682.7631,1048.2458,0.0068,0.0116,0.0208,3.26,0.30,147557.6875,45986.2266,41.9201
dis,transductive,row,2,5.0,2854.2505,2658.3102,2088.8157,0.2483,0.2699,0.2688,847.1279,1811.8533,733.8003,0.0067,0.0213,0.0043,2.66,0.09,18440.4238,12891.3623,121.3931
cor,transductive,row,2,5.0,1848.0666,1585.9777,1496.5439,0.0651,0.0759,0.0699,611.2880,1356.3442,521.3070,0.0012,0.0010,0.0043,2.86,0.14,50135.1250,14778.2686,11.8989
d_con,transductive,row,2,5.0,2224.8616,4183.6930,3711.2377,0.0980,0.2544,0.2672,258.7788,2870.8536,936.7391,0.0055,0.0092,0.0240,2.60,0.19,109072.0938,40394.5117,42.4537
d_cor,transductive,row,2,5.0,1869.7958,1605.6420,1561.1178,0.0655,0.0797,0.0711,609.7490,1382.2054,539.0613,0.0010,0.0024,0.0036,2.60,0.09,49305.0312,15080.8340,9.1211
cor_con,transductive,row,2,5.0,2089.3073,3694.5043,3547.2745,0.0509,0.1925,0.1856,600.1374,2211.4810,1043.6579,0.0053,0.0095,0.0077,2.47,0.03,124566.2109,41112.6445,20.1509
d_cor_con,transductive,row,2,5.0,2178.6087,3391.7278,3442.0243,0.0529,0.1913,0.1832,585.5691,2124.9094,950.1953,0.0061,0.0118,0.0088,2.46,0.01,117918.6875,38926.2617,20.0339
