adjacency,mode,seed,sigma,train_mae,val_mae,test_mae,normalized_train_mae,normalized_val_mae,normalized_test_mae,train_mae_std,val_mae_std,test_mae_std,normalized_train_mae_std,normalized_val_mae_std,normalized_test_mae_std
con,inductive,2,5.0,35075.3406,37193.7380,37021.3496,0.0083,0.0088,0.0088,1004.5712,1001.6254,1006.5443,0.0002,0.0002,0.0002
dis,inductive,2,5.0,57787.0449,60262.7768,58775.3523,0.0137,0.0143,0.0139,1.4804,2.7549,2.7581,0.0000,0.0000,0.0000
cor,inductive,2,5.0,57145.7283,59525.5317,58150.7658,0.0135,0.0141,0.0138,16.2139,20.2355,22.3982,0.0000,0.0000,0.0000
d_con,inductive,2,5.0,33761.4548,35753.5761,34975.0940,0.0080,0.0085,0.0083,156.5042,117.4845,240.7603,0.0000,0.0000,0.0001
d_cor,inductive,2,5.0,57406.7224,59840.0803,58448.7694,0.0136,0.0142,0.0138,873.5678,942.5495,942.2030,0.0002,0.0002,0.0002
cor_con,inductive,2,5.0,38081.0631,40088.1647,39028.9299,0.0090,0.0095,0.0092,1048.8808,912.7834,726.7208,0.0002,0.0002,0.0002
d_cor_con,inductive,2,5.0,37758.0858,39852.3516,39037.3782,0.0089,0.0094,0.0092,1028.8277,1025.6858,675.1351,0.0002,0.0002,0.0002
