adjacency,mode,seed,sigma,train_mae,val_mae,test_mae,normalized_train_mae,normalized_val_mae,normalized_test_mae
con,inductive,0,5.0,51795.1827,53871.8002,52446.1871,0.0123,0.0128,0.0124
dis,inductive,0,5.0,58269.8358,60648.6725,59183.0371,0.0138,0.0144,0.0140
cor,inductive,0,5.0,65566.5649,68044.6565,66574.9878,0.0155,0.0161,0.0158
d_con,inductive,0,5.0,51553.1957,53810.2263,52315.6218,0.0122,0.0127,0.0124
d_cor,inductive,0,5.0,65308.9010,67903.8564,66403.1883,0.0155,0.0161,0.0157
cor_con,inductive,0,5.0,56391.6022,58854.5955,57249.8757,0.0133,0.0139,0.0135
d_cor_con,inductive,0,5.0,55659.9355,58115.5665,56512.1688,0.0132,0.0138,0.0134
