adjacency,mode,seed,sigma,train_mae,val_mae,test_mae,normalized_train_mae,normalized_val_mae,normalized_test_mae,train_mae_std,val_mae_std,test_mae_std,normalized_train_mae_std,normalized_val_mae_std,normalized_test_mae_std
con,transductive,2,5.0,27710.5830,61276.8647,66234.0370,0.0066,0.0145,0.0157,5645.9985,7530.2449,2767.2775,0.0013,0.0018,0.0007
dis,transductive,2,5.0,60753.7420,55595.1480,56305.8035,0.0144,0.0132,0.0133,7093.1252,14237.5811,7354.9078,0.0017,0.0034,0.0017
cor,transductive,2,5.0,60205.2074,55249.4097,55897.7790,0.0142,0.0131,0.0132,6906.7943,13651.2645,6979.4895,0.0016,0.0032,0.0017
d_con,transductive,2,5.0,27932.3201,65004.1884,65820.3226,0.0066,0.0154,0.0156,5483.2041,8250.9429,1912.7836,0.0013,0.0020,0.0005
d_cor,transductive,2,5.0,59802.5016,55198.5559,55677.4775,0.0142,0.0131,0.0132,6890.1433,13525.0811,6773.7316,0.0016,0.0032,0.0016
cor_con,transductive,2,5.0,29865.0520,84114.2681,76770.7670,0.0071,0.0199,0.0182,5275.6898,10230.0121,3896.3313,0.0012,0.0024,0.0009
d_cor_con,transductive,2,5.0,31334.8696,84309.1762,78273.9929,0.0074,0.0200,0.0185,7841.0312,10944.1377,5628.6236,0.0019,0.0026,0.0013
