adjacency,mode,norm,seed,sigma,train_mae,val_mae,test_mae,normalized_train_mae,normalized_val_mae,normalized_test_mae,train_mae_std,val_mae_std,test_mae_std,normalized_train_mae_std,normalized_val_mae_std,normalized_test_mae_std
con,inductive,row,2,5.0,2517.4382,3403.4111,3705.8778,0.2059,0.3001,0.3045,47.5409,208.0740,191.1248,0.0085,0.0162,0.0160
dis,inductive,row,2,5.0,2691.7000,2218.1585,3472.0447,0.2157,0.2382,0.3023,113.8040,436.2640,325.0893,0.0071,0.0252,0.0181
cor,inductive,row,2,5.0,2131.1135,2102.5299,4330.3687,0.2754,0.2549,0.4508,39.6691,18.8208,263.9994,0.0046,0.0117,0.0246
d_con,inductive,row,2,5.0,2537.6165,3373.6785,3696.9104,0.2039,0.2952,0.3019,55.9722,280.4833,236.4848,0.0116,0.0223,0.0195
d_cor,inductive,row,2,5.0,2546.7869,3308.9653,3641.5868,0.3167,0.3418,0.3337,341.3320,988.7340,129.6866,0.0364,0.0723,0.0125
cor_con,inductive,row,2,5.0,2232.1581,3864.2686,3118.8285,0.2512,0.3295,0.2686,170.4775,406.4607,342.1911,0.0205,0.0351,0.0284
d_cor_con,inductive,row,2,5.0,2316.3433,4018.0587,3207.3070,0.2573,0.3365,0.2748,245.6361,503.5629,422.0582,0.0253,0.0396,0.0333
